CODE_LIGNE;LIBELLE_LIGNE;NOM_VOIE;IDRESEAU;X Debut (WGS84);Y Debut (WGS84);X Fin (WGS84);Y Fin (WGS84)
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353813;2,217218403;48,85139894;2,217569513;48,84978924
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353814;2,217569513;48,84978924;2,21791949;48,84843279
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353815;2,21791949;48,84843279;2,217931876;48,84707178
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353816;2,217931876;48,84707178;2,216874949;48,84451631
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353817;2,216874949;48,84451631;2,211042532;48,84080148
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353818;2,211042532;48,84080148;2,208814332;48,84013724
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353819;2,208814332;48,84013724;2,201841312;48,83336252
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353820;2,201841312;48,83336252;2,200257056;48,82452967
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353821;2,200257056;48,82452967;2,195556699;48,81878528
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353822;2,195556699;48,81878528;2,194494304;48,81821955
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353823;2,194494304;48,81821955;2,190295964;48,81508609
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353824;2,190295964;48,81508609;2,187230159;48,81126319
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353825;2,187230159;48,81126319;2,173940377;48,80554837
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353826;2,173940377;48,80554837;2,15883339;48,80532114
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353827;2,15883339;48,80532114;2,149255274;48,8073191
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353828;2,149255274;48,8073191;2,142335813;48,80907548
973000;Ligne de Paris-St-Lazare à Versailles-Rive-Droite;V1;353829;2,142335813;48,80907548;2,135235533;48,80953391
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353901;2,210653031;48,84068209;2,206840165;48,83854524
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353902;2,206840165;48,83854524;2,196207634;48,83925428
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353903;2,196207634;48,83925428;2,191866028;48,83967642
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353904;2,191866028;48,83967642;2,187504627;48,83834139
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353905;2,187504627;48,83834139;2,186943799;48,83803973
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353906;2,186943799;48,83803973;2,181256683;48,83625743
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353907;2,181256683;48,83625743;2,179628256;48,83606771
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353908;2,179628256;48,83606771;2,176975263;48,83574482
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353909;2,176975263;48,83574482;2,162755361;48,83403478
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353910;2,162755361;48,83403478;2,155427151;48,83523835
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353911;2,155427151;48,83523835;2,155021989;48,8354794
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353912;2,155021989;48,8354794;2,153517929;48,8362514
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353913;2,153517929;48,8362514;2,152971304;48,83648904
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353914;2,152971304;48,83648904;2,148281714;48,83808832
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353915;2,148281714;48,83808832;2,145135596;48,83870622
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353916;2,145135596;48,83870622;2,141172067;48,84050484
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353917;2,141172067;48,84050484;2,13391989;48,84570314
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353918;2,13391989;48,84570314;2,131232145;48,8485204
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353919;2,131232145;48,8485204;2,131256108;48,85047931
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353920;2,131256108;48,85047931;2,13194324;48,85360516
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353921;2,13194324;48,85360516;2,131975235;48,85618491
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353922;2,131975235;48,85618491;2,13170262;48,85729207
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353923;2,13170262;48,85729207;2,128270838;48,86077841
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353924;2,128270838;48,86077841;2,125495613;48,86108821
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353925;2,125495613;48,86108821;2,119035058;48,86261901
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353926;2,119035058;48,86261901;2,116624431;48,86369688
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353927;2,116624431;48,86369688;2,113585942;48,86524895
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353928;2,113585942;48,86524895;2,112441681;48,86734023
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353929;2,112441681;48,86734023;2,106084971;48,87108085
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353930;2,106084971;48,87108085;2,100762137;48,87108869
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353931;2,100762137;48,87108869;2,09899473;48,87116647
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353932;2,09899473;48,87116647;2,089206233;48,87239346
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353933;2,089206233;48,87239346;2,08235604;48,87129185
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353934;2,08235604;48,87129185;2,077720676;48,86862507
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353935;2,077720676;48,86862507;2,074933522;48,86611781
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353936;2,074933522;48,86611781;2,070030753;48,86324546
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353937;2,070030753;48,86324546;2,068563627;48,86302929
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353938;2,068563627;48,86302929;2,061143012;48,8643865
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353939;2,061143012;48,8643865;2,055422973;48,86578223
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353940;2,055422973;48,86578223;2,051247939;48,86853506
974000;Ligne de St-Cloud à St-Nom-la-Bretèche-Forêt-de-Marly;V1;353941;2,051247939;48,86853506;2,051985347;48,86950823
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353984;2,324279017;48,87653842;2,318638517;48,88416754
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353985;2,318638517;48,88416754;2,316672921;48,88604665
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353986;2,316672921;48,88604665;2,31440593;48,88769174
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353987;2,31440593;48,88769174;2,311384369;48,88946476
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353988;2,311384369;48,88946476;2,310359044;48,89006024
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353989;2,310359044;48,89006024;2,308305531;48,89123772
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353990;2,308305531;48,89123772;2,305668235;48,89279889
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353991;2,305668235;48,89279889;2,305171508;48,89310628
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353992;2,305171508;48,89310628;2,302648511;48,89461515
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353993;2,302648511;48,89461515;2,301316661;48,89538517
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353994;2,301316661;48,89538517;2,300199551;48,89604404
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353995;2,300199551;48,89604404;2,299170412;48,89663248
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353996;2,299170412;48,89663248;2,298953873;48,89674156
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353997;2,298953873;48,89674156;2,296610986;48,89796889
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353998;2,296610986;48,89796889;2,295201754;48,89881635
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;353999;2,295201754;48,89881635;2,293688835;48,89972224
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354000;2,293688835;48,89972224;2,292700274;48,90034058
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354001;2,292700274;48,90034058;2,290982142;48,90136499
